lon,lat,voterType,COLOR,id
-89.8202187938,43.9611698398,REP,#ca0020,1469
-89.8202127372,43.9739765886,NOVOTE,#9999999,6051
-89.8202094909,43.9595104368,REP,#ca0020,163
-89.8202073575,44.1096503926,NOVOTE,#9999999,2999
-89.8202054443,43.956965798,NOVOTE,#9999999,250
-89.8202023463,43.9668329763,DEM,#0571b0,6351
-89.8201903551,43.95652877,NOVOTE,#9999999,249
-89.820181811,43.9940134077,REP,#ca0020,11431
-89.8201728565,43.9592617122,DEM,#0571b0,131
-89.8201657653,44.010450248,DEM,#0571b0,10855
-89.8201602358,43.9124676438,NOVOTE,#9999999,2043
-89.8201556713,43.9660539742,REP,#ca0020,1269
-89.8201417684,43.9942271297,NOVOTE,#9999999,11432
-89.8201410978,44.2111267639,REP,#ca0020,14465
-89.8201311997,43.9560101991,REP,#ca0020,238
-89.8201253266,43.9595292972,REP,#ca0020,139
-89.8201185351,43.7439436337,DEM,#0571b0,16214
-89.8201095952,43.9578865518,NOVOTE,#9999999,140
-89.8201043185,43.9565828454,DEM,#0571b0,52
-89.8200980949,43.9608983607,REP,#ca0020,1466
-89.8200942416,43.9611993556,NOVOTE,#9999999,1473
-89.8200860554,44.1956074471,DEM,#0571b0,13612
-89.8200813351,44.198687173,NOVOTE,#9999999,13628
-89.8200739602,43.7117615441,DEM,#0571b0,4149
-89.8200664829,43.9590222665,REP,#ca0020,138
-89.8200655232,44.1211573334,REP,#ca0020,2639
-89.8200595363,43.9581772764,DEM,#0571b0,129
-89.820057511,43.9560938517,DEM,#0571b0,60
-89.8200573442,43.9787673677,DEM,#0571b0,2353
-89.8200552222,43.9609859481,NOVOTE,#9999999,1474
-89.8200486237,43.9573142415,REP,#ca0020,61
-89.8200359003,43.965831879,DEM,#0571b0,1267
-89.8200345402,44.1931835464,DEM,#0571b0,13758
-89.8200316054,43.9588517605,REP,#ca0020,135
-89.8200297332,43.9569725957,DEM,#0571b0,55
-89.820028073,43.8274415863,DEM,#0571b0,5744
-89.8200210771,43.8642334825,DEM,#0571b0,4910
-89.8200169841,43.9576743334,DEM,#0571b0,53
-89.8200002578,43.957322856,DEM,#0571b0,54
-89.8199835723,43.9571024987,NOVOTE,#9999999,67
-89.8199819646,44.0110494222,DEM,#0571b0,10854
-89.8199694937,43.9173180188,DEM,#0571b0,2021
-89.8199673204,43.9606327306,DEM,#0571b0,1460
-89.8199573001,44.202779417,REP,#ca0020,14718
-89.8199562297,44.0596658148,DEM,#0571b0,11114
-89.819949442,44.1849240952,REP,#ca0020,13788
-89.8199463168,43.9597283879,NOVOTE,#9999999,1470
-89.8199381499,44.0541558112,DEM,#0571b0,11037
-89.819935141,43.959531655,REP,#ca0020,137
-89.8199295268,43.9734866249,DEM,#0571b0,6046
-89.8199224164,44.0128799208,DEM,#0571b0,10852
-89.8199206581,43.7135960837,REP,#ca0020,4165
-89.8199192453,43.9737993932,NOVOTE,#9999999,6048
-89.8199170303,43.9716437646,NOVOTE,#9999999,6129
-89.8199138046,44.0109085897,REP,#ca0020,10858
-89.8199113929,43.9610339072,NOVOTE,#9999999,1476
-89.8199034472,43.9578168256,DEM,#0571b0,132
-89.8198899083,43.9564890999,NOVOTE,#9999999,77
-89.819882835,43.9820789698,NOVOTE,#9999999,11372
-89.8198819245,44.1889048956,DEM,#0571b0,13697
-89.8198721133,43.9568001728,REP,#ca0020,66
